"state","office","lat_dd","long_dd"
"Baja California","Bahía de los Ángeles",28.9497,-113.564
"Baja California","El Rosario, Baja California",32.4686,-116.791
"Baja California","Ensenada",31.8578,-116.606
"Baja California","Isla de Cedros",28.0956,-115.193
"Baja California","Mexicali",32.6633,-115.468
"Baja California","San Felipe",31.0275,-114.835
"Baja California","San Quintín",30.4433,-115.991
"Baja California","Tijuana",32.5347,-117.044
"Baja California","Villa Jesús María",28.2814,-114.001
"Baja California Sur","Bahía Asunción",27.1403,-114.296
"Baja California Sur","Bahía Tortugas",27.6917,-114.896
"Baja California Sur","Cabo San Lucas",22.8897,-109.916
"Baja California Sur","Cd. Constitución",25.0322,-111.67
"Baja California Sur","Guerrero Negro",27.9589,-114.056
"Baja California Sur","La Paz",24.1422,-110.311
"Baja California Sur","Loreto",26.0128,-111.343
"Baja California Sur","Puerto Adolfo López Mateos",25.1964,-112.111
"Baja California Sur","Punta Abreojos",26.7144,-113.574
"Baja California Sur","San Carlos",24.7881,-112.105
"Baja California Sur","Santa Rosalía",27.3389,-112.267
"Chiapas","Acapetahua",15.2795,-92.6906
"Chiapas","Arriaga",16.235,-93.8956
"Chiapas","Pijijiapan",15.6817,-93.2124
"Chiapas","Playas de Catazajá",16.7678,-93.1665
"Chiapas","Puerto Madero",14.9206,-92.3747
"Chiapas","Raudales Malpaso",17.19,-93.604
"Chiapas","Revolución Mexicana",16.1665,-93.0734
"Chiapas","Tonalá",16.0841,-93.7555
"Chiapas","Tuxtla Gutiérrez",16.7479,-93.1126
"Chiapas","Valdivia Pijijiapan",15.6852,-93.2123
"Chiapas","Villa Flores",16.2247,-93.2792
"Colima","Colima",19.2433,-103.725
"Colima","Manzanillo",19.0505,-104.317
"Colima","Tecomán",18.9129,-103.872
"Guerrero","Acapulco",16.8638,-99.8816
"Guerrero","Arcelia",18.3151,-100.285
"Guerrero","Cd. Altamirano",18.3589,-100.669
"Guerrero","Marquelia Cruz Grande",16.5815,-98.8114
"Guerrero","Tecpán de Galeana",17.2195,-100.63
"Guerrero","Zihuatanejo",17.6444,-101.55
"Jalisco","Barra De Navidad",19.2081,-104.681
"Jalisco","Chapala",20.2933,-103.19
"Jalisco","Guadalajara",20.6764,-103.342
"Jalisco","Ocotlán",20.3514,-102.768
"Jalisco","Puerto Vallarta",20.6136,-105.227
"Michoacán","Cuitzeo",19.9692,-101.14
"Michoacán","El Ranchito Coahuayana",18.6875,-103.664
"Michoacán","Lázaro Cárdenas",17.9599,-102.174
"Michoacán","Nueva Italia",19.0324,-102.089
"Michoacán","Pátzcuaro",19.5164,-101.61
"Michoacán","Sahuayo Cojumatlán",20.1177,-102.851
"Michoacán","Zitácuaro",19.4359,-100.355
"Nayarit","La Cruz De Huanacaxtle",20.7492,-105.382
"Nayarit","La Peñita de Jaltemba",21.0386,-105.249
"Nayarit","Rosa Morada",22.1222,-105.204
"Nayarit","San Blas",21.7503,-105.178
"Nayarit","Santiago Ixcuintla",21.8114,-105.207
"Nayarit","Tecuala",22.3972,-105.457
"Nayarit","Tepic",21.5164,-104.894
"Nayarit","Tuxpan",21.9436,-105.299
"Oaxaca","Juchitán",16.4329,-95.0181
"Oaxaca","Oaxaca",17.0594,-96.7216
"Oaxaca","Pinotepa Nacional",16.338,-98.0501
"Oaxaca","Puerto Ángel",15.6667,-96.4906
"Oaxaca","Puerto Escondido",15.8655,-97.0695
"Oaxaca","Salina Cruz",16.1809,-95.1937
"Oaxaca","Santa María Huatulco",15.774229,-96.136126
"Oaxaca","Temazcal",18.2372,-96.4046
"Sinaloa","Culiacán",24.7919,-107.398
"Sinaloa","El Fuerte",26.4164,-108.618
"Sinaloa","El Rosario, Sinaloa",26.1708,-107.868
"Sinaloa","Escuinapa",22.8333,-105.778
"Sinaloa","Guasave",25.5733,-108.47
"Sinaloa","La Reforma",25.0811,-108.056
"Sinaloa","Los Mochis",25.7936,-108.997
"Sinaloa","Mazatlán",23.2414,-106.41
"Sinaloa","Navolato",24.7656,-107.703
"Sinaloa","Topolobampo",25.6297,-109.056
"Sonora","Bahía Kino",28.8228,-111.941
"Sonora","Caborca",30.6486,-112.193
"Sonora","Cd. Obregón",27.4892,-109.935
"Sonora","Estación Don",26.4236,-109.024
"Sonora","Golfo De Santa Clara",31.6867,-114.5
"Sonora","Guaymas",27.9183,-110.899
"Sonora","Hermosillo",28.6397,-111.526
"Sonora","Huatabampo",26.8275,-109.642
"Sonora","Nogales",31.3186,-110.946
"Sonora","Puerto Libertad",29.9042,-112.683
"Sonora","Puerto Peñasco",31.3167,-113.537
